participant_id,num_images,evaluations,cognitive_status,notes
507,1,[np.int64(2)],,
508,1,[np.int64(1)],,
509,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
510,2,"[np.int64(1), np.int64(2)]",,
512,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
513,2,"[np.int64(1), np.int64(3)]",,
514,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
515,2,"[np.int64(1), np.int64(2)]",,
516,2,"[np.int64(2), np.int64(3)]",,
517,2,"[np.int64(1), np.int64(2)]",,
518,2,"[np.int64(1), np.int64(2)]",,
519,1,[np.int64(2)],,
520,1,[np.int64(1)],,
521,1,[np.int64(1)],,
522,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
523,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
524,2,"[np.int64(1), np.int64(2)]",,
525,2,"[np.int64(1), np.int64(2)]",,
526,2,"[np.int64(2), np.int64(3)]",,
527,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
528,2,"[np.int64(1), np.int64(2)]",,
529,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
530,1,[np.int64(1)],,
531,2,"[np.int64(1), np.int64(2)]",,
532,2,"[np.int64(1), np.int64(2)]",,
533,2,"[np.int64(1), np.int64(2)]",,
534,1,[np.int64(1)],,
535,2,"[np.int64(1), np.int64(2)]",,
